Cognitive Score,IQ,Verbal Ability,Logical Reasoning,Memorizing Ability,Spatial Awareness,Remote,Motivation Level,Work-Life Balance,Work Environment,Preferred Location,Travel Willingness,Career Growth,Work Hours Flexibility,Company Size Preference,Preferred Industry,Team Structure,Job Stability,Training Opportunities,Ethical Values,Preferred Work Style,Communication Style,Predicted Career Path
9,8,3,4,7,5,Remote,High,Strict,Collaborative and supportive,Urban area,High,Strongly preferred,Not important,MNCs,Finance,Individual contributor,Medium,Not important,Neutral,Unstructured,Mixed,Chartered Accountant
2,4,2,8,9,2,In office,High,Balanced,Independent,Rural,Moderate,Strongly preferred,Important,MNCs,Education,Large teams,Low,Not important,Not a priority,Structured,Mixed,Blockchain Developer
5,9,9,1,8,7,In office,High,Strict,Competitive,Rural,Moderate,Strongly preferred,Not important,Startups,Finance,Individual contributor,Medium,Important,Neutral,Structured,Informal,Systems Management
3,3,1,2,2,1,Remote,High,Strict,Competitive,Urban area,Moderate,Strongly preferred,Important,MNCs,Other,Large teams,High,Important,Align with personal values,Unstructured,Informal,Finance
8,8,8,2,7,5,In office,High,Strict,Collaborative and supportive,Suburban,High,Strongly preferred,Not important,MNCs,Healthcare,Small teams,High,Important,Not a priority,Unstructured,Informal,Doctor
8,10,7,5,4,5,Remote,High,Balanced,Collaborative and supportive,Suburban,Moderate,Not a priority,Important,Startups,Education,Small teams,High,Important,Neutral,Unstructured,Mixed,Data Engineer
1,6,7,6,9,10,Remote,High,Balanced,Competitive,Urban area,High,Preferred,Important,MNCs,Healthcare,Large teams,Medium,Important,Neutral,Structured,Informal,Product Management
1,4,1,2,10,10,In office,Low,Balanced,Collaborative and supportive,Suburban,Low,Not a priority,Important,Medium-sized enterprises,Finance,Small teams,High,Not important,Neutral,Structured,Mixed,Product Management
1,6,3,4,6,6,Remote,Medium,Flexible,Independent,Urban area,High,Strongly preferred,Important,Medium-sized enterprises,Education,Individual contributor,High,Important,Neutral,Unstructured,Informal,Software Architect
8,10,9,1,2,6,In office,High,Balanced,Collaborative and supportive,Urban area,Moderate,Strongly preferred,Important,MNCs,Healthcare,Individual contributor,Medium,Not important,Not a priority,Hybrid,Formal,Data Engineer
7,2,1,5,9,9,In office,Low,Balanced,Competitive,Rural,Moderate,Preferred,Important,MNCs,Healthcare,Individual contributor,Low,Important,Not a priority,Unstructured,Informal,Cybersecurity
9,3,10,4,1,7,In office,Low,Strict,Competitive,Urban area,Low,Not a priority,Not important,Startups,Technology,Individual contributor,Low,Not important,Not a priority,Unstructured,Mixed,Cybersecurity
8,3,9,1,9,9,Remote,Low,Flexible,Competitive,Rural,Low,Preferred,Important,Startups,Other,Large teams,High,Important,Align with personal values,Hybrid,Mixed,Marketing Management
10,2,7,7,5,8,In office,Medium,Strict,Independent,Suburban,High,Preferred,Not important,Startups,Technology,Large teams,High,Not important,Not a priority,Structured,Informal,Management Consultant
1,8,9,2,8,8,Remote,High,Flexible,Collaborative and supportive,Urban area,High,Not a priority,Important,MNCs,Other,Individual contributor,Low,Not important,Neutral,Structured,Mixed,Systems Management
7,2,8,4,9,2,Remote,Low,Strict,Collaborative and supportive,Suburban,High,Strongly preferred,Not important,MNCs,Finance,Small teams,Medium,Important,Not a priority,Unstructured,Mixed,DevOps Engineer
2,10,5,2,9,9,In office,Medium,Balanced,Independent,Suburban,High,Preferred,Not important,Medium-sized enterprises,Education,Small teams,Low,Not important,Neutral,Structured,Formal,Human Resources
8,1,2,8,4,8,In office,Medium,Flexible,Competitive,Urban area,Moderate,Strongly preferred,Not important,MNCs,Finance,Individual contributor,Medium,Important,Neutral,Unstructured,Mixed,Data Engineer
6,2,9,6,3,6,In office,High,Strict,Competitive,Suburban,Moderate,Not a priority,Important,MNCs,Education,Individual contributor,Low,Not important,Not a priority,Hybrid,Informal,Marketing Management
10,4,6,7,8,6,In office,Low,Strict,Competitive,Urban area,Moderate,Not a priority,Not important,Medium-sized enterprises,Technology,Large teams,High,Important,Neutral,Hybrid,Formal,Business Analyst
4,5,9,6,4,7,Remote,Medium,Flexible,Collaborative and supportive,Rural,Moderate,Preferred,Not important,Medium-sized enterprises,Finance,Individual contributor,Medium,Not important,Neutral,Hybrid,Informal,DevOps Engineer
9,7,3,8,2,3,Remote,Low,Balanced,Competitive,Suburban,High,Not a priority,Not important,Medium-sized enterprises,Technology,Individual contributor,Medium,Important,Neutral,Structured,Informal,Data Science
1,4,2,9,2,8,In office,Low,Flexible,Collaborative and supportive,Urban area,Low,Preferred,Not important,Medium-sized enterprises,Finance,Small teams,Low,Important,Not a priority,Structured,Informal,Machine Learning
4,1,8,3,5,10,In office,Medium,Flexible,Collaborative and supportive,Suburban,Moderate,Not a priority,Important,Medium-sized enterprises,Healthcare,Large teams,Low,Not important,Align with personal values,Structured,Mixed,Artificial Intelligence
1,1,9,2,6,7,Remote,Medium,Strict,Collaborative and supportive,Urban area,Moderate,Not a priority,Important,Startups,Technology,Individual contributor,High,Important,Align with personal values,Unstructured,Mixed,Data Engineer
3,8,1,2,1,3,Remote,High,Balanced,Collaborative and supportive,Suburban,Moderate,Strongly preferred,Important,Startups,Other,Small teams,Low,Important,Align with personal values,Structured,Formal,Software Architect
10,7,1,3,2,2,Remote,High,Balanced,Competitive,Urban area,High,Preferred,Important,Startups,Healthcare,Small teams,High,Important,Align with personal values,Structured,Informal,Lawyer
1,10,4,6,5,5,In office,Medium,Flexible,Competitive,Urban area,Low,Strongly preferred,Not important,Startups,Education,Large teams,Low,Important,Neutral,Structured,Formal,Cybersecurity
4,2,8,4,5,2,In office,Medium,Balanced,Competitive,Rural,Low,Not a priority,Not important,Startups,Education,Small teams,Low,Not important,Not a priority,Unstructured,Mixed,Cybersecurity
3,10,5,8,2,2,Remote,Medium,Balanced,Competitive,Urban area,High,Not a priority,Not important,Startups,Finance,Small teams,High,Not important,Align with personal values,Unstructured,Formal,Systems Management
3,5,4,10,10,2,In office,Low,Balanced,Independent,Urban area,High,Not a priority,Not important,MNCs,Healthcare,Individual contributor,Low,Important,Not a priority,Hybrid,Informal,Doctor
8,7,4,7,1,1,In office,High,Balanced,Collaborative and supportive,Urban area,Moderate,Not a priority,Not important,MNCs,Healthcare,Individual contributor,Medium,Important,Not a priority,Hybrid,Formal,Data Science
3,1,1,3,9,4,In office,High,Flexible,Collaborative and supportive,Urban area,Moderate,Not a priority,Not important,MNCs,Technology,Individual contributor,High,Important,Not a priority,Structured,Formal,Doctor
1,10,3,2,8,4,In office,High,Flexible,Independent,Urban area,Low,Preferred,Not important,MNCs,Technology,Large teams,Low,Not important,Neutral,Structured,Mixed,Data Science
3,7,4,6,10,9,In office,Medium,Flexible,Independent,Rural,Moderate,Strongly preferred,Important,Medium-sized enterprises,Technology,Small teams,Medium,Important,Align with personal values,Hybrid,Formal,Engineering Management
6,1,1,2,9,5,Remote,Low,Strict,Competitive,Urban area,Low,Not a priority,Not important,Startups,Education,Large teams,Low,Not important,Neutral,Unstructured,Informal,Artificial Intelligence
4,4,7,1,6,2,In office,Low,Balanced,Competitive,Suburban,Low,Preferred,Not important,Startups,Education,Individual contributor,Medium,Important,Neutral,Hybrid,Formal,Chartered Accountant
4,10,4,8,10,10,In office,Medium,Balanced,Competitive,Rural,Low,Strongly preferred,Important,MNCs,Education,Small teams,High,Important,Neutral,Hybrid,Formal,Management Consultant
8,4,6,10,7,3,In office,High,Flexible,Competitive,Suburban,Low,Preferred,Important,MNCs,Technology,Large teams,Medium,Not important,Not a priority,Structured,Formal,Artificial Intelligence
1,1,2,1,8,6,In office,High,Flexible,Collaborative and supportive,Suburban,Low,Preferred,Important,Medium-sized enterprises,Healthcare,Small teams,Medium,Important,Not a priority,Hybrid,Formal,Human Resources
3,4,2,9,8,9,Remote,High,Balanced,Independent,Suburban,High,Strongly preferred,Important,MNCs,Technology,Small teams,Low,Not important,Neutral,Structured,Mixed,Chartered Accountant
1,4,5,9,8,8,In office,Low,Balanced,Independent,Suburban,High,Preferred,Important,MNCs,Technology,Small teams,Low,Important,Not a priority,Unstructured,Mixed,DevOps Engineer
2,6,9,8,4,7,Remote,Medium,Strict,Independent,Rural,Moderate,Strongly preferred,Important,Medium-sized enterprises,Finance,Small teams,High,Not important,Not a priority,Unstructured,Mixed,Data Engineer
6,10,5,7,2,8,In office,High,Flexible,Collaborative and supportive,Urban area,Moderate,Not a priority,Important,Medium-sized enterprises,Education,Individual contributor,High,Important,Not a priority,Unstructured,Informal,Investment Banker
5,7,1,5,3,6,In office,Medium,Balanced,Collaborative and supportive,Suburban,Low,Preferred,Important,MNCs,Finance,Small teams,High,Important,Not a priority,Hybrid,Mixed,Chartered Accountant
10,1,8,2,2,5,In office,High,Strict,Collaborative and supportive,Suburban,High,Preferred,Not important,Medium-sized enterprises,Other,Individual contributor,Medium,Important,Not a priority,Unstructured,Informal,Doctor
8,9,8,2,3,9,Remote,Low,Balanced,Collaborative and supportive,Urban area,Moderate,Not a priority,Important,Medium-sized enterprises,Education,Small teams,High,Not important,Align with personal values,Structured,Mixed,Systems Management
2,2,10,1,1,8,In office,Low,Balanced,Collaborative and supportive,Suburban,High,Preferred,Important,Medium-sized enterprises,Education,Small teams,Low,Important,Not a priority,Hybrid,Mixed,Investment Banker
9,3,8,9,8,3,In office,Low,Balanced,Competitive,Rural,Moderate,Strongly preferred,Important,Startups,Education,Individual contributor,Low,Not important,Align with personal values,Unstructured,Mixed,Doctor
7,10,10,2,5,9,Remote,Low,Balanced,Independent,Suburban,Moderate,Preferred,Not important,MNCs,Healthcare,Large teams,Medium,Important,Neutral,Unstructured,Informal,Management Consultant
9,7,4,4,3,8,Remote,Low,Balanced,Competitive,Urban area,Moderate,Preferred,Important,Medium-sized enterprises,Education,Individual contributor,Low,Important,Align with personal values,Unstructured,Mixed,Lawyer
8,6,8,7,2,10,In office,High,Flexible,Collaborative and supportive,Rural,Moderate,Strongly preferred,Important,Medium-sized enterprises,Technology,Large teams,High,Not important,Not a priority,Unstructured,Mixed,Blockchain Developer
1,6,6,8,10,6,In office,Low,Strict,Competitive,Urban area,Low,Not a priority,Important,MNCs,Technology,Individual contributor,Low,Important,Neutral,Unstructured,Informal,Software Architect
8,7,6,6,10,10,Remote,High,Strict,Independent,Rural,High,Not a priority,Not important,MNCs,Technology,Large teams,High,Not important,Not a priority,Hybrid,Mixed,Cybersecurity
8,9,4,6,7,1,In office,Low,Strict,Collaborative and supportive,Suburban,Low,Not a priority,Not important,MNCs,Healthcare,Individual contributor,High,Important,Neutral,Unstructured,Formal,Systems Management
3,4,9,9,10,8,In office,Low,Strict,Independent,Urban area,Low,Strongly preferred,Not important,Startups,Finance,Individual contributor,Medium,Not important,Align with personal values,Structured,Formal,Doctor
8,2,3,2,3,8,Remote,Low,Strict,Competitive,Rural,High,Strongly preferred,Not important,MNCs,Finance,Small teams,Low,Not important,Align with personal values,Hybrid,Mixed,Systems Management
7,3,2,6,3,10,Remote,Medium,Flexible,Collaborative and supportive,Rural,Low,Not a priority,Not important,Medium-sized enterprises,Technology,Individual contributor,High,Not important,Align with personal values,Hybrid,Informal,Systems Management
7,7,9,9,3,6,Remote,High,Balanced,Collaborative and supportive,Suburban,Moderate,Not a priority,Important,MNCs,Other,Individual contributor,Low,Not important,Align with personal values,Unstructured,Mixed,Data Engineer
10,9,10,3,1,5,Remote,High,Balanced,Independent,Urban area,Moderate,Not a priority,Important,MNCs,Technology,Large teams,Low,Important,Not a priority,Unstructured,Formal,Chartered Accountant
3,7,1,5,5,7,Remote,High,Flexible,Collaborative and supportive,Rural,High,Preferred,Important,MNCs,Education,Individual contributor,High,Not important,Align with personal values,Hybrid,Formal,Data Science
5,2,8,1,5,3,In office,High,Flexible,Competitive,Urban area,High,Not a priority,Not important,Startups,Other,Large teams,Low,Not important,Align with personal values,Hybrid,Mixed,Software Architect
10,5,7,2,3,10,Remote,High,Strict,Collaborative and supportive,Urban area,Moderate,Preferred,Important,Medium-sized enterprises,Other,Large teams,High,Not important,Align with personal values,Hybrid,Formal,Systems Management
10,8,5,3,5,2,In office,Low,Balanced,Collaborative and supportive,Urban area,Moderate,Preferred,Important,MNCs,Other,Small teams,High,Important,Neutral,Unstructured,Formal,Blockchain Developer
2,5,4,9,3,9,In office,High,Flexible,Competitive,Urban area,Low,Preferred,Not important,MNCs,Technology,Small teams,Medium,Not important,Align with personal values,Unstructured,Informal,Data Engineer
1,3,5,7,3,1,Remote,Medium,Flexible,Competitive,Rural,High,Not a priority,Not important,MNCs,Technology,Large teams,High,Not important,Neutral,Unstructured,Informal,Data Science
3,10,8,2,5,2,In office,Low,Flexible,Collaborative and supportive,Urban area,Moderate,Not a priority,Important,Startups,Technology,Individual contributor,High,Important,Neutral,Unstructured,Informal,Data Science
4,7,1,7,10,4,In office,High,Strict,Independent,Urban area,Moderate,Not a priority,Not important,Medium-sized enterprises,Healthcare,Large teams,Medium,Not important,Align with personal values,Unstructured,Informal,Human Resources
1,4,2,2,8,2,In office,Medium,Balanced,Independent,Suburban,High,Not a priority,Not important,Startups,Finance,Individual contributor,High,Not important,Align with personal values,Structured,Mixed,Data Engineer
7,5,6,1,7,10,In office,High,Strict,Competitive,Rural,Low,Preferred,Important,Medium-sized enterprises,Education,Large teams,Low,Important,Neutral,Unstructured,Formal,Artificial Intelligence
4,5,6,1,10,10,In office,Medium,Balanced,Competitive,Urban area,Moderate,Strongly preferred,Not important,MNCs,Finance,Large teams,Low,Not important,Neutral,Structured,Informal,Chartered Accountant
2,8,4,8,5,5,In office,Medium,Strict,Competitive,Rural,High,Strongly preferred,Important,Medium-sized enterprises,Other,Small teams,Medium,Important,Neutral,Unstructured,Informal,Business Analyst
10,3,9,7,10,2,In office,Low,Flexible,Independent,Suburban,Low,Not a priority,Important,MNCs,Finance,Individual contributor,High,Important,Align with personal values,Unstructured,Mixed,Investment Banker
9,1,9,9,5,1,In office,Medium,Balanced,Competitive,Urban area,Low,Preferred,Not important,Startups,Technology,Small teams,Low,Important,Not a priority,Unstructured,Mixed,Lawyer
5,8,6,9,1,2,Remote,Medium,Balanced,Collaborative and supportive,Rural,Low,Strongly preferred,Not important,Medium-sized enterprises,Other,Small teams,Medium,Important,Neutral,Structured,Formal,Finance
7,10,9,3,4,7,Remote,High,Flexible,Independent,Rural,Low,Preferred,Not important,Medium-sized enterprises,Education,Large teams,Low,Important,Neutral,Structured,Informal,Chartered Accountant
1,1,5,7,9,1,In office,High,Flexible,Collaborative and supportive,Suburban,Moderate,Preferred,Not important,Startups,Education,Small teams,Medium,Important,Align with personal values,Structured,Formal,Chartered Accountant
4,6,8,10,10,9,In office,High,Flexible,Collaborative and supportive,Suburban,Moderate,Not a priority,Important,MNCs,Healthcare,Individual contributor,High,Not important,Neutral,Hybrid,Mixed,Data Science
5,3,1,10,8,8,In office,High,Balanced,Competitive,Rural,Low,Not a priority,Important,Medium-sized enterprises,Technology,Large teams,High,Important,Not a priority,Structured,Mixed,Product Management
6,1,1,3,8,1,Remote,Low,Flexible,Competitive,Urban area,Moderate,Not a priority,Important,MNCs,Finance,Small teams,Medium,Important,Neutral,Hybrid,Informal,Data Science
9,2,10,10,10,5,In office,High,Strict,Collaborative and supportive,Suburban,Low,Preferred,Important,Medium-sized enterprises,Finance,Individual contributor,Medium,Not important,Neutral,Structured,Mixed,Finance
4,3,4,4,9,6,In office,Medium,Strict,Independent,Urban area,Moderate,Strongly preferred,Not important,Startups,Technology,Individual contributor,Medium,Not important,Align with personal values,Unstructured,Informal,Doctor
6,9,8,9,1,5,In office,Low,Flexible,Independent,Suburban,Moderate,Preferred,Important,Medium-sized enterprises,Other,Large teams,Low,Not important,Align with personal values,Structured,Mixed,Data Science
2,8,2,8,7,3,Remote,Medium,Strict,Independent,Suburban,High,Not a priority,Important,Startups,Education,Large teams,Low,Not important,Align with personal values,Unstructured,Mixed,Software Architect
4,1,6,4,3,4,In office,Low,Balanced,Collaborative and supportive,Rural,Low,Not a priority,Not important,Medium-sized enterprises,Finance,Individual contributor,Medium,Not important,Neutral,Unstructured,Mixed,Doctor
9,4,7,6,2,3,Remote,Low,Flexible,Independent,Urban area,Moderate,Preferred,Important,MNCs,Other,Individual contributor,Medium,Not important,Neutral,Structured,Formal,Artificial Intelligence
3,6,3,9,4,7,In office,Low,Strict,Competitive,Urban area,High,Not a priority,Not important,Medium-sized enterprises,Healthcare,Individual contributor,High,Important,Not a priority,Structured,Formal,Finance
5,7,1,1,3,10,Remote,High,Balanced,Collaborative and supportive,Urban area,Moderate,Not a priority,Important,MNCs,Education,Large teams,Low,Important,Align with personal values,Unstructured,Formal,Management Consultant
6,3,2,8,5,1,In office,Low,Strict,Competitive,Suburban,Low,Not a priority,Not important,Medium-sized enterprises,Education,Large teams,High,Not important,Not a priority,Unstructured,Informal,DevOps Engineer
4,10,3,7,7,8,Remote,Low,Balanced,Competitive,Rural,Low,Strongly preferred,Not important,MNCs,Technology,Small teams,High,Not important,Not a priority,Structured,Formal,Lawyer
7,7,2,4,5,6,Remote,Medium,Balanced,Independent,Suburban,Low,Strongly preferred,Important,MNCs,Healthcare,Large teams,Medium,Not important,Not a priority,Hybrid,Formal,Business Analyst
10,7,7,1,7,1,In office,Medium,Balanced,Collaborative and supportive,Rural,Moderate,Strongly preferred,Not important,Medium-sized enterprises,Technology,Large teams,Medium,Not important,Align with personal values,Hybrid,Formal,Blockchain Developer
5,6,5,1,10,1,In office,Medium,Flexible,Competitive,Urban area,High,Strongly preferred,Important,Medium-sized enterprises,Technology,Small teams,High,Not important,Not a priority,Structured,Mixed,Artificial Intelligence
5,5,6,1,10,9,In office,High,Flexible,Competitive,Urban area,Moderate,Strongly preferred,Important,Medium-sized enterprises,Finance,Small teams,High,Not important,Not a priority,Hybrid,Formal,Artificial Intelligence
2,9,4,4,4,8,Remote,High,Strict,Competitive,Suburban,Moderate,Strongly preferred,Not important,Startups,Other,Individual contributor,High,Important,Align with personal values,Unstructured,Formal,Systems Management
2,10,1,6,10,1,Remote,Medium,Balanced,Collaborative and supportive,Suburban,High,Not a priority,Not important,Medium-sized enterprises,Education,Small teams,High,Not important,Neutral,Structured,Informal,Software Architect
5,9,8,6,6,8,Remote,High,Flexible,Independent,Urban area,Low,Not a priority,Important,Startups,Education,Small teams,High,Important,Align with personal values,Unstructured,Informal,Doctor
3,4,6,5,3,7,Remote,High,Balanced,Collaborative and supportive,Rural,Low,Strongly preferred,Not important,Medium-sized enterprises,Other,Individual contributor,High,Important,Align with personal values,Hybrid,Formal,Artificial Intelligence
6,8,3,3,8,9,In office,High,Strict,Independent,Suburban,Low,Not a priority,Not important,Startups,Technology,Large teams,Low,Important,Align with personal values,Unstructured,Mixed,Artificial Intelligence
2,6,8,6,8,3,In office,Low,Strict,Collaborative and supportive,Rural,Moderate,Not a priority,Not important,Startups,Education,Individual contributor,Low,Important,Not a priority,Hybrid,Formal,Machine Learning
8,10,10,9,9,4,Remote,High,Flexible,Independent,Rural,Moderate,Not a priority,Not important,MNCs,Healthcare,Small teams,Medium,Important,Neutral,Hybrid,Mixed,Systems Management
7,5,6,3,4,3,In office,Medium,Flexible,Independent,Urban area,High,Not a priority,Important,Medium-sized enterprises,Other,Individual contributor,Medium,Not important,Not a priority,Structured,Mixed,Marketing Management
7,5,8,9,5,5,In office,Low,Balanced,Independent,Urban area,Low,Preferred,Not important,Startups,Education,Small teams,Medium,Important,Align with personal values,Hybrid,Formal,Business Analyst
3,7,9,1,10,10,In office,Low,Strict,Competitive,Urban area,Moderate,Not a priority,Important,MNCs,Education,Small teams,Medium,Not important,Neutral,Hybrid,Mixed,Blockchain Developer
5,10,10,5,9,4,Remote,High,Flexible,Independent,Urban area,High,Strongly preferred,Important,Medium-sized enterprises,Finance,Large teams,Medium,Important,Neutral,Unstructured,Mixed,Chartered Accountant
